stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step4_random,18,18,0.16912972085385877,0.7563628899835798
step4_random,171,171,0.1958333333333333,0.45694444444444443
step4_random,181,yeast,0.1464102564102564,0.613076923076923
step4_random,209,quake,0.1683087027914614,0.16748768472906403
step4_random,307,307,0.11111111111111112,0.6728395061728395
step4_random,469,analcatdatadmft,0.17816091954022992,0.23132183908045978
step4_random,471,471,0.12962962962962962,0.21623093681917216
step4_random,478,478,0.1597222222222222,0.6319444444444444
step4_random,504,analcatdatasupreme,0.16091954022988506,0.5055418719211823
step4_random,519,vinnie,0.16666666666666666,0.35233918128654973
step4_random,546,sensory,0.13903508771929823,0.26666666666666666
step4_random,550,quake,0.16091954022988506,0.1867816091954023
step4_random,1030,ERA,0.1451149425287356,0.28920361247947457
step4_random,1549,autoUnivau,0.1488526570048309,0.19202898550724637
step6_g_supervised_init,18,18,0.7563628899835798,0.8148604269293923
step6_g_supervised_init,171,171,0.45694444444444443,0.4694444444444445
step6_g_supervised_init,181,yeast,0.613076923076923,0.6392307692307693
step6_g_supervised_init,209,quake,0.16748768472906403,0.16174055829228243
step6_g_supervised_init,307,307,0.6728395061728395,0.808641975308642
step6_g_supervised_init,469,analcatdatadmft,0.23132183908045978,0.20853858784893264
step6_g_supervised_init,471,471,0.21623093681917216,0.1889978213507625
step6_g_supervised_init,478,478,0.6319444444444444,0.6666666666666666
step6_g_supervised_init,504,analcatdatasupreme,0.5055418719211823,0.6494252873563219
step6_g_supervised_init,519,vinnie,0.35233918128654973,0.3148148148148148
step6_g_supervised_init,546,sensory,0.26666666666666666,0.225
step6_g_supervised_init,550,quake,0.1867816091954023,0.15722495894909688
step6_g_supervised_init,1030,ERA,0.28920361247947457,0.24240558292282433
step6_g_supervised_init,1549,autoUnivau,0.19202898550724637,0.16304347826086957
step8_g_dynamic_init,18,18,0.7961822660098522,0.8033661740558292
step8_g_dynamic_init,171,171,0.3819444444444445,0.3923611111111111
step8_g_dynamic_init,181,yeast,0.6448717948717949,0.6061538461538462
step8_g_dynamic_init,209,quake,0.2196223316912972,0.173440065681445
step8_g_dynamic_init,307,307,0.8888888888888888,0.9074074074074073
step8_g_dynamic_init,469,analcatdatadmft,0.14470443349753695,0.21428571428571427
step8_g_dynamic_init,471,471,0.21568627450980393,0.19771241830065356
step8_g_dynamic_init,478,478,0.638888888888889,0.6527777777777778
step8_g_dynamic_init,504,analcatdatasupreme,0.867816091954023,0.9137931034482759
step8_g_dynamic_init,519,vinnie,0.31286549707602335,0.3133528265107212
step8_g_dynamic_init,546,sensory,0.24956140350877187,0.2232456140350877
step8_g_dynamic_init,550,quake,0.20238095238095236,0.1272577996715928
step8_g_dynamic_init,1030,ERA,0.27729885057471265,0.27155172413793105
step8_g_dynamic_init,1549,autoUnivau,0.19172705314009664,0.1847826086956522
