dataset_id,file,reason
1,1.arff,not enough classes
2,2.arff,"C value not in ('C ', 'H ', 'G')"
4,4.arff,too few rows
7,7.arff,too few samples per class (30)
8,8.arff,not enough classes
9,9.arff,too few samples per class (3)
10,10.arff,not enough classes
11,11.arff,not enough classes
13,13.arff,not enough classes
15,15.arff,not enough classes
17,17.arff,too few rows
19,19.arff,too few rows
21,21.arff,not enough classes
23,23.arff,not enough classes
25,25.arff,not enough classes
27,27.arff,not enough classes
29,29.arff,not enough classes
31,31.arff,not enough classes
33,33.arff,not enough classes
34,34.arff,too few rows
35,35.arff,too few samples per class (20)
37,37.arff,not enough classes
39,39.arff,too few samples per class (9)
40,40.arff,not enough classes
41,41.arff,too few samples per class (9)
42,42.arff,"same-lst-sev-yrs value not in ('diff-lst-year', 'same-lst-yr', 'same-lst-two-yrs', ' same-lst-sev-yrs')"
43,43.arff,not enough classes
48,48.arff,not enough classes
49,49.arff,not enough classes
50,50.arff,not enough classes
51,51.arff,not enough classes
52,52.arff,too few rows
53,53.arff,not enough classes
54,54.arff,not enough classes
55,55.arff,not enough classes
56,56.arff,not enough classes
59,59.arff,not enough classes
61,61.arff,not enough classes
62,62.arff,too few rows
163,163.arff,too few rows
164,164.arff,too few rows
173,173.arff,too few samples per class (8)
174,174.arff,too few samples per class (43)
183,183.arff,likely regression target
185,185.arff,not enough classes
186,186.arff,too few samples per class (3)
187,187.arff,not enough classes
188,188.arff,not enough classes
190,190.arff,too few rows
191,191.arff,likely regression target
192,192.arff,too few rows
193,193.arff,too few rows
194,194.arff,not enough classes
195,195.arff,likely regression target
196,196.arff,likely regression target
199,199.arff,likely regression target
200,200.arff,likely regression target
202,202.arff,likely regression target
203,203.arff,likely regression target
204,204.arff,likely regression target
205,205.arff,too few rows
206,206.arff,likely regression target
207,207.arff,likely regression target
208,208.arff,too few rows
209,209.arff,too few encoded features for target projection
210,210.arff,too few rows
211,211.arff,too few rows
212,212.arff,too few rows
213,213.arff,likely regression target
214,214.arff,too few rows
217,217.arff,too few rows
222,222.arff,likely regression target
223,223.arff,likely regression target
224,224.arff,too few samples per class (44)
226,226.arff,too few rows
228,228.arff,too few rows
229,229.arff,likely regression target
230,230.arff,likely regression target
231,231.arff,not enough classes
232,232.arff,likely regression target
275,275.arff,too few rows
276,276.arff,too few rows
277,277.arff,too few rows
278,278.arff,too few rows
285,285.arff,too few samples per class (15)
327,327.arff,too few rows
328,328.arff,too few rows
329,329.arff,not enough classes
333,333.arff,not enough classes
334,334.arff,not enough classes
335,335.arff,not enough classes
336,336.arff,not enough classes
337,337.arff,not enough classes
338,338.arff,not enough classes
339,339.arff,too few rows
340,340.arff,too few rows
342,342.arff,too few rows
343,343.arff,too few rows
345,345.arff,too few rows
402,402.arff,too few rows
403,403.arff,too few rows
404,404.arff,too few rows
406,406.arff,too few rows
408,408.arff,too few rows
409,409.arff,too few rows
411,411.arff,too few rows
412,412.arff,too few rows
413,413.arff,too few rows
414,414.arff,too few rows
415,415.arff,too few rows
417,417.arff,too few rows
419,419.arff,too few rows
421,421.arff,too few rows
423,423.arff,too few rows
424,424.arff,too few rows
425,425.arff,too few rows
426,426.arff,too few rows
427,427.arff,too few rows
428,428.arff,too few rows
429,429.arff,too few rows
431,431.arff,too few rows
432,432.arff,too few rows
433,433.arff,too few rows
434,434.arff,likely regression target
435,435.arff,too few rows
436,436.arff,too few rows
437,437.arff,too few rows
438,438.arff,too few rows
440,440.arff,too few rows
441,441.arff,too few rows
442,442.arff,too few rows
443,443.arff,too few rows
444,444.arff,not enough classes
446,446.arff,not enough classes
448,448.arff,not enough classes
449,449.arff,not enough classes
450,450.arff,not enough classes
451,451.arff,not enough classes
452,452.arff,too few samples per class (25)
453,453.arff,too few rows
454,454.arff,not enough classes
455,455.arff,not enough classes
456,456.arff,likely regression target
457,457.arff,too few rows
458,458.arff,not enough classes
459,459.arff,too few rows
460,460.arff,not enough classes
461,461.arff,too few rows
462,462.arff,too few rows
463,463.arff,not enough classes
464,464.arff,not enough classes
465,465.arff,too few rows
466,466.arff,not enough classes
467,467.arff,too few rows
468,468.arff,too few rows
470,470.arff,not enough classes
471,471.arff,too few encoded features for target projection
472,472.arff,too few rows
474,474.arff,not enough classes
475,475.arff,not enough classes
476,476.arff,too few rows
477,477.arff,too few rows
479,479.arff,too few rows
480,480.arff,too few rows
481,481.arff,not enough classes
482,482.arff,too few samples per class (4)
483,483.arff,too few rows
485,485.arff,too few rows
486,486.arff,too few rows
487,487.arff,too few rows
488,488.arff,not enough classes
490,490.arff,too few rows
491,491.arff,too few rows
492,492.arff,likely regression target
493,493.arff,too few rows
494,494.arff,likely regression target
495,495.arff,likely regression target
497,497.arff,likely regression target
498,498.arff,too few rows
500,500.arff,likely regression target
501,501.arff,too few rows
502,502.arff,not enough classes
506,506.arff,not enough classes
508,508.arff,too few rows
509,509.arff,likely regression target
510,510.arff,too few rows
511,511.arff,likely regression target
512,512.arff,likely regression target
513,513.arff,too few samples per class (6)
515,515.arff,too few rows
516,516.arff,not enough classes
518,518.arff,too few rows
519,519.arff,too few encoded features for target projection
520,520.arff,too few samples per class (15)
521,521.arff,too few samples per class (8)
522,522.arff,likely regression target
523,523.arff,too few rows
524,524.arff,not enough classes
525,525.arff,likely regression target
526,526.arff,likely regression target
527,527.arff,too few rows
528,528.arff,likely regression target
529,529.arff,likely regression target
530,530.arff,too few rows
531,531.arff,likely regression target
532,532.arff,too few rows
533,533.arff,too few samples per class (5)
534,534.arff,likely regression target
535,535.arff,too few rows
536,536.arff,too few samples per class (6)
539,539.arff,too few rows
540,540.arff,likely regression target
541,541.arff,likely regression target
542,542.arff,too few rows
543,543.arff,"Error while parsing header, error was: 'utf-8' codec can't decode byte 0x93 in position 388: invalid start byte"
544,544.arff,likely regression target
545,545.arff,no features
547,547.arff,likely regression target
549,549.arff,likely regression target
550,550.arff,too few encoded features for target projection
551,551.arff,too few rows
552,552.arff,too few rows
553,553.arff,too few rows
555,555.arff,likely regression target
556,556.arff,likely regression target
557,557.arff,likely regression target
559,559.arff,too few rows
560,560.arff,likely regression target
561,561.arff,likely regression target
563,563.arff,likely regression target
565,565.arff,likely regression target
566,566.arff,likely regression target
567,567.arff,likely regression target
568,568.arff,likely regression target
569,569.arff,too few rows
570,570.arff,likely regression target
575,575.arff,likely regression target
576,576.arff,likely regression target
577,577.arff,likely regression target
578,578.arff,likely regression target
579,579.arff,likely regression target
581,581.arff,likely regression target
582,582.arff,likely regression target
584,584.arff,likely regression target
585,585.arff,too few rows
587,587.arff,too few rows
591,591.arff,too few rows
593,593.arff,likely regression target
594,594.arff,too few rows
595,595.arff,likely regression target
596,596.arff,likely regression target
597,597.arff,likely regression target
599,599.arff,likely regression target
600,600.arff,too few rows
601,601.arff,likely regression target
602,602.arff,likely regression target
603,603.arff,likely regression target
604,604.arff,likely regression target
605,605.arff,likely regression target
606,606.arff,likely regression target
608,608.arff,likely regression target
609,609.arff,likely regression target
611,611.arff,too few rows
612,612.arff,likely regression target
613,613.arff,likely regression target
614,614.arff,likely regression target
615,615.arff,likely regression target
617,617.arff,likely regression target
619,619.arff,likely regression target
621,621.arff,too few rows
623,623.arff,likely regression target
624,624.arff,too few rows
625,625.arff,too few rows
627,627.arff,likely regression target
628,628.arff,likely regression target
629,629.arff,too few rows
630,630.arff,too few rows
631,631.arff,likely regression target
632,632.arff,likely regression target
633,633.arff,likely regression target
634,634.arff,too few rows
635,635.arff,likely regression target
636,636.arff,too few rows
638,638.arff,likely regression target
639,639.arff,too few rows
640,640.arff,too few rows
641,641.arff,likely regression target
642,642.arff,too few rows
643,643.arff,likely regression target
644,644.arff,likely regression target
646,646.arff,likely regression target
647,647.arff,likely regression target
648,648.arff,likely regression target
649,649.arff,likely regression target
651,651.arff,too few rows
652,652.arff,too few rows
653,653.arff,likely regression target
654,654.arff,likely regression target
655,655.arff,too few rows
656,656.arff,too few rows
657,657.arff,likely regression target
658,658.arff,likely regression target
659,659.arff,too few rows
660,660.arff,too few rows
661,661.arff,too few rows
663,663.arff,likely regression target
664,664.arff,likely regression target
665,665.arff,too few samples per class (20)
666,666.arff,likely regression target
668,668.arff,too few rows
669,669.arff,too few rows
670,670.arff,likely regression target
671,671.arff,likely regression target
672,672.arff,likely regression target
673,673.arff,likely regression target
674,674.arff,too few rows
675,675.arff,too few rows
676,676.arff,likely regression target
678,678.arff,too few rows
679,679.arff,not enough classes
680,680.arff,likely regression target
681,681.arff,too few rows
682,682.arff,too few rows
