stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step4_random,18,18,0.16912972085385877,0.7563628899835798
step4_random,171,171,0.1958333333333333,0.45694444444444443
step4_random,181,yeast,0.1464102564102564,0.613076923076923
step4_random,209,quake,0.1683087027914614,0.16748768472906403
step4_random,307,307,0.11111111111111112,0.6728395061728395
step4_random,469,analcatdatadmft,0.17816091954022992,0.23132183908045978
step4_random,471,471,0.12962962962962962,0.21623093681917216
step4_random,478,478,0.1597222222222222,0.6319444444444444
step4_random,504,analcatdatasupreme,0.16091954022988506,0.5055418719211823
step4_random,519,vinnie,0.16666666666666666,0.35233918128654973
step4_random,546,sensory,0.13903508771929823,0.26666666666666666
step4_random,550,quake,0.16091954022988506,0.1867816091954023
step4_random,1030,ERA,0.1451149425287356,0.28920361247947457
step4_random,1549,autoUnivau,0.1488526570048309,0.19202898550724637
