step,balanced_accuracy
0,0.16298862
1,0.27532545
2,0.325834
3,0.32942066
4,0.3322619
5,0.33217236
6,0.3408721
7,0.34266308
8,0.34416202
9,0.3469142
10,0.3477385
11,0.35107222
12,0.35227364
13,0.36164004
14,0.3610608
15,0.36796445
16,0.37635922
17,0.38048425
18,0.3851266
19,0.38727394
20,0.38395613
21,0.38663366
22,0.38522348
23,0.38372484
24,0.3860833
25,0.3850176
26,0.38658968
27,0.38977864
28,0.38572386
29,0.387345
30,0.39535445
31,0.3943297
32,0.40047693
33,0.40158466
34,0.4040482
35,0.4083325
