step,balanced_accuracy
0,0.4083325
1,0.40013304
2,0.4088296
3,0.3977004
4,0.40030453
5,0.40581408
6,0.40985516
7,0.41045156
8,0.40877333
9,0.41084138
10,0.4096241
11,0.4089132
12,0.4109644
13,0.41325364
14,0.4089164
15,0.41051057
16,0.41207865
17,0.4074928
18,0.41247073
19,0.41454074
20,0.41160884
21,0.41134357
22,0.41114134
23,0.4133558
24,0.4123353
25,0.41163737
26,0.41587502
27,0.41426724
28,0.41547298
29,0.41547456
30,0.41569164
31,0.41552123
32,0.4168968
33,0.4139078
34,0.41439977
35,0.4125791
