step,balanced_accuracy
0,0.40961838
1,0.41196483
2,0.41120353
3,0.40615395
4,0.40302882
5,0.39818004
6,0.3994319
7,0.40214476
8,0.40294608
9,0.40465358
10,0.40612048
11,0.40499455
12,0.4026173
13,0.40148893
14,0.405133
15,0.40645546
16,0.40679023
17,0.40623337
18,0.4030242
19,0.40425605
20,0.4054602
21,0.40779847
22,0.4089236
23,0.4107611
24,0.4070692
25,0.40794227
26,0.41057965
27,0.40794197
28,0.40764454
29,0.40940532
30,0.4108529
31,0.41036543
32,0.41072613
33,0.41441464
34,0.41425368
35,0.41397658
