stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step4_random,18,18,0.19047619047619047,0.7916666666666666
step4_random,171,171,0.17916666666666667,0.45694444444444443
step4_random,181,yeast,0.22435897435897437,0.6587179487179488
step4_random,209,quake,0.15311986863711002,0.16707717569786537
step4_random,307,307,0.15432098765432098,0.7345679012345679
step4_random,469,analcatdatadmft,0.12725779967159276,0.23686371100164205
step4_random,471,471,0.16666666666666666,0.2058823529411765
step4_random,478,478,0.20138888888888887,0.6736111111111112
step4_random,504,analcatdatasupreme,0.17836617405582925,0.5804597701149425
step4_random,519,vinnie,0.06237816764132553,0.361598440545809
step4_random,546,sensory,0.14736842105263157,0.2508771929824561
step4_random,550,quake,0.14429392446633824,0.180623973727422
step4_random,1030,ERA,0.17816091954022992,0.2547208538587849
step4_random,1549,autoUnivau,0.17451690821256038,0.16304347826086954
step6_g_supervised_init,18,18,0.7916666666666666,0.8146551724137931
step6_g_supervised_init,171,171,0.45694444444444443,0.45694444444444443
step6_g_supervised_init,181,yeast,0.6587179487179488,0.6512820512820513
step6_g_supervised_init,209,quake,0.16707717569786537,0.17344006568144502
step6_g_supervised_init,307,307,0.7345679012345679,0.839506172839506
step6_g_supervised_init,469,analcatdatadmft,0.23686371100164205,0.2025862068965517
step6_g_supervised_init,471,471,0.2058823529411765,0.16993464052287585
step6_g_supervised_init,478,478,0.6736111111111112,0.6319444444444445
step6_g_supervised_init,504,analcatdatasupreme,0.5804597701149425,0.735632183908046
step6_g_supervised_init,519,vinnie,0.361598440545809,0.3421052631578947
step6_g_supervised_init,546,sensory,0.2508771929824561,0.22587719298245612
step6_g_supervised_init,550,quake,0.180623973727422,0.1629720853858785
step6_g_supervised_init,1030,ERA,0.2547208538587849,0.2481527093596059
step6_g_supervised_init,1549,autoUnivau,0.16304347826086954,0.12107487922705314
step8_g_dynamic_init,18,18,0.7329638752052544,0.7974137931034484
step8_g_dynamic_init,171,171,0.4465277777777778,0.4673611111111111
step8_g_dynamic_init,181,yeast,0.5738461538461538,0.5530769230769231
step8_g_dynamic_init,209,quake,0.24876847290640394,0.1847290640394089
step8_g_dynamic_init,307,307,0.8950617283950617,0.9012345679012346
step8_g_dynamic_init,469,analcatdatadmft,0.21469622331691296,0.19704433497536944
step8_g_dynamic_init,471,471,0.24400871459694987,0.18845315904139434
step8_g_dynamic_init,478,478,0.6527777777777778,0.625
step8_g_dynamic_init,504,analcatdatasupreme,0.6089901477832512,0.8908045977011495
step8_g_dynamic_init,519,vinnie,0.3036062378167641,0.2675438596491228
step8_g_dynamic_init,546,sensory,0.18991228070175437,0.16359649122807018
step8_g_dynamic_init,550,quake,0.17364532019704434,0.15024630541871922
step8_g_dynamic_init,1030,ERA,0.3006978653530378,0.28899835796387524
step8_g_dynamic_init,1549,autoUnivau,0.14915458937198067,0.12016908212560384
