stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step4_random,18,18,0.19047619047619047,0.7916666666666666
step4_random,171,171,0.17916666666666667,0.45694444444444443
step4_random,181,yeast,0.22435897435897437,0.6587179487179488
step4_random,209,quake,0.15311986863711002,0.16707717569786537
step4_random,307,307,0.15432098765432098,0.7345679012345679
step4_random,469,analcatdatadmft,0.12725779967159276,0.23686371100164205
step4_random,471,471,0.16666666666666666,0.2058823529411765
step4_random,478,478,0.20138888888888887,0.6736111111111112
step4_random,504,analcatdatasupreme,0.17836617405582925,0.5804597701149425
step4_random,519,vinnie,0.06237816764132553,0.361598440545809
step4_random,546,sensory,0.14736842105263157,0.2508771929824561
step4_random,550,quake,0.14429392446633824,0.180623973727422
step4_random,1030,ERA,0.17816091954022992,0.2547208538587849
step4_random,1549,autoUnivau,0.17451690821256038,0.16304347826086954
