stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step6_g_supervised_init,18,18,0.7916666666666666,0.8146551724137931
step6_g_supervised_init,171,171,0.45694444444444443,0.45694444444444443
step6_g_supervised_init,181,yeast,0.6587179487179488,0.6512820512820513
step6_g_supervised_init,209,quake,0.16707717569786537,0.17344006568144502
step6_g_supervised_init,307,307,0.7345679012345679,0.839506172839506
step6_g_supervised_init,469,analcatdatadmft,0.23686371100164205,0.2025862068965517
step6_g_supervised_init,471,471,0.2058823529411765,0.16993464052287585
step6_g_supervised_init,478,478,0.6736111111111112,0.6319444444444445
step6_g_supervised_init,504,analcatdatasupreme,0.5804597701149425,0.735632183908046
step6_g_supervised_init,519,vinnie,0.361598440545809,0.3421052631578947
step6_g_supervised_init,546,sensory,0.2508771929824561,0.22587719298245612
step6_g_supervised_init,550,quake,0.180623973727422,0.1629720853858785
step6_g_supervised_init,1030,ERA,0.2547208538587849,0.2481527093596059
step6_g_supervised_init,1549,autoUnivau,0.16304347826086954,0.12107487922705314
