stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step8_g_dynamic_init,18,18,0.7329638752052544,0.7974137931034484
step8_g_dynamic_init,171,171,0.4465277777777778,0.4673611111111111
step8_g_dynamic_init,181,yeast,0.5738461538461538,0.5530769230769231
step8_g_dynamic_init,209,quake,0.24876847290640394,0.1847290640394089
step8_g_dynamic_init,307,307,0.8950617283950617,0.9012345679012346
step8_g_dynamic_init,469,analcatdatadmft,0.21469622331691296,0.19704433497536944
step8_g_dynamic_init,471,471,0.24400871459694987,0.18845315904139434
step8_g_dynamic_init,478,478,0.6527777777777778,0.625
step8_g_dynamic_init,504,analcatdatasupreme,0.6089901477832512,0.8908045977011495
step8_g_dynamic_init,519,vinnie,0.3036062378167641,0.2675438596491228
step8_g_dynamic_init,546,sensory,0.18991228070175437,0.16359649122807018
step8_g_dynamic_init,550,quake,0.17364532019704434,0.15024630541871922
step8_g_dynamic_init,1030,ERA,0.3006978653530378,0.28899835796387524
step8_g_dynamic_init,1549,autoUnivau,0.14915458937198067,0.12016908212560384
