stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step4_random,1,1,0.23333333333333334,0.9654761904761906
step4_random,18,18,0.16379310344827586,0.6637931034482759
step4_random,21,21,0.4697368421052631,0.7578947368421053
step4_random,35,dermatology,0.33766233766233766,0.9318181818181819
step4_random,39,ecoli,0.22058823529411764,0.678921568627451
step4_random,54,vehicle,0.16379310344827586,0.5344827586206897
step4_random,173,173,0.21590909090909088,0.6931818181818182
step4_random,174,174,0.23275862068965517,0.7155172413793104
step4_random,181,yeast,0.23275862068965517,0.5344827586206897
step4_random,188,eucalyptus,0.22413793103448276,0.4224137931034483
step4_random,209,quake,0.3103448275862069,0.25
step4_random,307,307,0.21551724137931036,0.43965517241379315
step4_random,452,analcatdatabroadwaymult,0.21599264705882354,0.4834558823529412
step4_random,458,analcatdataauthorship,0.36397058823529416,0.9852941176470589
step6_g_supervised_init,1,1,0.9654761904761906,1.0
step6_g_supervised_init,18,18,0.6637931034482759,0.6637931034482758
step6_g_supervised_init,21,21,0.7578947368421053,0.719078947368421
step6_g_supervised_init,35,dermatology,0.9318181818181819,0.9204545454545455
step6_g_supervised_init,39,ecoli,0.678921568627451,0.6658496732026143
step6_g_supervised_init,54,vehicle,0.5344827586206897,0.5862068965517241
step6_g_supervised_init,173,173,0.6931818181818182,0.7045454545454546
step6_g_supervised_init,174,174,0.7155172413793104,0.7241379310344827
step6_g_supervised_init,181,yeast,0.5344827586206897,0.646551724137931
step6_g_supervised_init,188,eucalyptus,0.4224137931034483,0.4568965517241379
step6_g_supervised_init,209,quake,0.25,0.22413793103448276
step6_g_supervised_init,307,307,0.43965517241379315,0.5517241379310345
step6_g_supervised_init,452,analcatdatabroadwaymult,0.4834558823529412,0.4384191176470589
step6_g_supervised_init,458,analcatdataauthorship,0.9852941176470589,0.9852941176470589
step8_g_dynamic_init,1,1,0.9833333333333334,0.9833333333333334
step8_g_dynamic_init,18,18,0.6724137931034483,0.6637931034482758
step8_g_dynamic_init,21,21,0.7296052631578948,0.7046052631578948
step8_g_dynamic_init,35,dermatology,0.8977272727272727,0.9318181818181819
step8_g_dynamic_init,39,ecoli,0.6519607843137254,0.6519607843137254
step8_g_dynamic_init,54,vehicle,0.5517241379310345,0.5258620689655172
step8_g_dynamic_init,173,173,0.6931818181818181,0.6931818181818181
step8_g_dynamic_init,174,174,0.7241379310344828,0.706896551724138
step8_g_dynamic_init,181,yeast,0.603448275862069,0.5517241379310345
step8_g_dynamic_init,188,eucalyptus,0.4482758620689655,0.4482758620689655
step8_g_dynamic_init,209,quake,0.25,0.20689655172413793
step8_g_dynamic_init,307,307,0.4913793103448276,0.646551724137931
step8_g_dynamic_init,452,analcatdatabroadwaymult,0.4852941176470589,0.4678308823529412
step8_g_dynamic_init,458,analcatdataauthorship,0.9852941176470589,0.9852941176470589
