stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step4_random,1,1,0.23333333333333334,0.9654761904761906
step4_random,18,18,0.16379310344827586,0.6637931034482759
step4_random,21,21,0.4697368421052631,0.7578947368421053
step4_random,35,dermatology,0.33766233766233766,0.9318181818181819
step4_random,39,ecoli,0.22058823529411764,0.678921568627451
step4_random,54,vehicle,0.16379310344827586,0.5344827586206897
step4_random,173,173,0.21590909090909088,0.6931818181818182
step4_random,174,174,0.23275862068965517,0.7155172413793104
step4_random,181,yeast,0.23275862068965517,0.5344827586206897
step4_random,188,eucalyptus,0.22413793103448276,0.4224137931034483
step4_random,209,quake,0.3103448275862069,0.25
step4_random,307,307,0.21551724137931036,0.43965517241379315
step4_random,452,analcatdatabroadwaymult,0.21599264705882354,0.4834558823529412
step4_random,458,analcatdataauthorship,0.36397058823529416,0.9852941176470589
