stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step6_g_supervised_init,1,1,0.9654761904761906,1.0
step6_g_supervised_init,18,18,0.6637931034482759,0.6637931034482758
step6_g_supervised_init,21,21,0.7578947368421053,0.719078947368421
step6_g_supervised_init,35,dermatology,0.9318181818181819,0.9204545454545455
step6_g_supervised_init,39,ecoli,0.678921568627451,0.6658496732026143
step6_g_supervised_init,54,vehicle,0.5344827586206897,0.5862068965517241
step6_g_supervised_init,173,173,0.6931818181818182,0.7045454545454546
step6_g_supervised_init,174,174,0.7155172413793104,0.7241379310344827
step6_g_supervised_init,181,yeast,0.5344827586206897,0.646551724137931
step6_g_supervised_init,188,eucalyptus,0.4224137931034483,0.4568965517241379
step6_g_supervised_init,209,quake,0.25,0.22413793103448276
step6_g_supervised_init,307,307,0.43965517241379315,0.5517241379310345
step6_g_supervised_init,452,analcatdatabroadwaymult,0.4834558823529412,0.4384191176470589
step6_g_supervised_init,458,analcatdataauthorship,0.9852941176470589,0.9852941176470589
