stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step8_g_dynamic_init,1,1,0.9833333333333334,0.9833333333333334
step8_g_dynamic_init,18,18,0.6724137931034483,0.6637931034482758
step8_g_dynamic_init,21,21,0.7296052631578948,0.7046052631578948
step8_g_dynamic_init,35,dermatology,0.8977272727272727,0.9318181818181819
step8_g_dynamic_init,39,ecoli,0.6519607843137254,0.6519607843137254
step8_g_dynamic_init,54,vehicle,0.5517241379310345,0.5258620689655172
step8_g_dynamic_init,173,173,0.6931818181818181,0.6931818181818181
step8_g_dynamic_init,174,174,0.7241379310344828,0.706896551724138
step8_g_dynamic_init,181,yeast,0.603448275862069,0.5517241379310345
step8_g_dynamic_init,188,eucalyptus,0.4482758620689655,0.4482758620689655
step8_g_dynamic_init,209,quake,0.25,0.20689655172413793
step8_g_dynamic_init,307,307,0.4913793103448276,0.646551724137931
step8_g_dynamic_init,452,analcatdatabroadwaymult,0.4852941176470589,0.4678308823529412
step8_g_dynamic_init,458,analcatdataauthorship,0.9852941176470589,0.9852941176470589
