stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step4_random,1,1,0.23333333333333334,0.9654761904761906
step4_random,7,7,0.25,0.5294117647058824
step4_random,18,18,0.3275862068965517,0.6551724137931034
step4_random,21,21,0.22368421052631576,0.7703947368421054
step4_random,35,dermatology,0.25,0.9204545454545455
step4_random,39,ecoli,0.24836601307189543,0.678921568627451
step4_random,54,vehicle,0.3448275862068966,0.5
step4_random,171,171,0.1580769230769231,0.4853846153846154
step4_random,173,173,0.25,0.7045454545454546
step4_random,174,174,0.26724137931034486,0.6982758620689655
step4_random,181,yeast,0.3103448275862069,0.5344827586206896
step4_random,188,eucalyptus,0.27586206896551724,0.4310344827586208
step4_random,209,quake,0.18103448275862066,0.25862068965517243
step4_random,224,breastTumor,0.2689393939393939,0.31439393939393934
step4_random,307,307,0.19827586206896552,0.43103448275862066
step4_random,452,analcatdatabroadwaymult,0.2527573529411765,0.43566176470588236
step6_g_supervised_init,1,1,0.9654761904761906,1.0
step6_g_supervised_init,7,7,0.5294117647058824,0.5735294117647058
step6_g_supervised_init,18,18,0.646551724137931,0.6982758620689655
step6_g_supervised_init,21,21,0.7703947368421054,0.719078947368421
step6_g_supervised_init,35,dermatology,0.9204545454545455,0.9204545454545455
step6_g_supervised_init,39,ecoli,0.678921568627451,0.7377450980392157
step6_g_supervised_init,54,vehicle,0.5,0.5344827586206896
step6_g_supervised_init,171,171,0.4853846153846154,0.4757692307692307
step6_g_supervised_init,173,173,0.7045454545454546,0.6931818181818182
step6_g_supervised_init,174,174,0.6982758620689655,0.7327586206896552
step6_g_supervised_init,181,yeast,0.5344827586206896,0.6206896551724137
step6_g_supervised_init,188,eucalyptus,0.4310344827586208,0.4224137931034483
step6_g_supervised_init,209,quake,0.25862068965517243,0.18103448275862072
step6_g_supervised_init,224,breastTumor,0.31439393939393934,0.3024891774891775
step6_g_supervised_init,307,307,0.43103448275862066,0.48275862068965514
step6_g_supervised_init,452,analcatdatabroadwaymult,0.42095588235294124,0.43566176470588236
step8_g_dynamic_init,1,1,0.9833333333333334,0.9833333333333334
step8_g_dynamic_init,7,7,0.5588235294117647,0.6176470588235294
step8_g_dynamic_init,18,18,0.7068965517241379,0.6724137931034482
step8_g_dynamic_init,21,21,0.7559210526315789,0.7059210526315789
step8_g_dynamic_init,35,dermatology,0.8977272727272727,0.9090909090909091
step8_g_dynamic_init,39,ecoli,0.6642156862745098,0.6356209150326797
step8_g_dynamic_init,54,vehicle,0.3706896551724138,0.5431034482758621
step8_g_dynamic_init,171,171,0.41615384615384615,0.4357692307692308
step8_g_dynamic_init,173,173,0.6818181818181819,0.7272727272727273
step8_g_dynamic_init,174,174,0.7241379310344827,0.7327586206896552
step8_g_dynamic_init,181,yeast,0.646551724137931,0.5862068965517242
step8_g_dynamic_init,188,eucalyptus,0.43965517241379315,0.4482758620689655
step8_g_dynamic_init,209,quake,0.25862068965517243,0.22413793103448276
step8_g_dynamic_init,224,breastTumor,0.2673160173160173,0.33712121212121215
step8_g_dynamic_init,307,307,0.5689655172413793,0.6293103448275862
step8_g_dynamic_init,452,analcatdatabroadwaymult,0.4972426470588235,0.4071691176470589
