stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step4_random,1,1,0.23333333333333334,0.9654761904761906
step4_random,7,7,0.25,0.5294117647058824
step4_random,18,18,0.3275862068965517,0.6551724137931034
step4_random,21,21,0.22368421052631576,0.7703947368421054
step4_random,35,dermatology,0.25,0.9204545454545455
step4_random,39,ecoli,0.24836601307189543,0.678921568627451
step4_random,54,vehicle,0.3448275862068966,0.5
step4_random,171,171,0.1580769230769231,0.4853846153846154
step4_random,173,173,0.25,0.7045454545454546
step4_random,174,174,0.26724137931034486,0.6982758620689655
step4_random,181,yeast,0.3103448275862069,0.5344827586206896
step4_random,188,eucalyptus,0.27586206896551724,0.4310344827586208
step4_random,209,quake,0.18103448275862066,0.25862068965517243
step4_random,224,breastTumor,0.2689393939393939,0.31439393939393934
step4_random,307,307,0.19827586206896552,0.43103448275862066
step4_random,452,analcatdatabroadwaymult,0.2527573529411765,0.43566176470588236
