stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step6_g_supervised_init,1,1,0.9654761904761906,1.0
step6_g_supervised_init,7,7,0.5294117647058824,0.5735294117647058
step6_g_supervised_init,18,18,0.646551724137931,0.6982758620689655
step6_g_supervised_init,21,21,0.7703947368421054,0.719078947368421
step6_g_supervised_init,35,dermatology,0.9204545454545455,0.9204545454545455
step6_g_supervised_init,39,ecoli,0.678921568627451,0.7377450980392157
step6_g_supervised_init,54,vehicle,0.5,0.5344827586206896
step6_g_supervised_init,171,171,0.4853846153846154,0.4757692307692307
step6_g_supervised_init,173,173,0.7045454545454546,0.6931818181818182
step6_g_supervised_init,174,174,0.6982758620689655,0.7327586206896552
step6_g_supervised_init,181,yeast,0.5344827586206896,0.6206896551724137
step6_g_supervised_init,188,eucalyptus,0.4310344827586208,0.4224137931034483
step6_g_supervised_init,209,quake,0.25862068965517243,0.18103448275862072
step6_g_supervised_init,224,breastTumor,0.31439393939393934,0.3024891774891775
step6_g_supervised_init,307,307,0.43103448275862066,0.48275862068965514
step6_g_supervised_init,452,analcatdatabroadwaymult,0.42095588235294124,0.43566176470588236
