stage,dataset_id,dataset_name,initial_balanced_accuracy,final_balanced_accuracy
step8_g_dynamic_init,1,1,0.9833333333333334,0.9833333333333334
step8_g_dynamic_init,7,7,0.5588235294117647,0.6176470588235294
step8_g_dynamic_init,18,18,0.7068965517241379,0.6724137931034482
step8_g_dynamic_init,21,21,0.7559210526315789,0.7059210526315789
step8_g_dynamic_init,35,dermatology,0.8977272727272727,0.9090909090909091
step8_g_dynamic_init,39,ecoli,0.6642156862745098,0.6356209150326797
step8_g_dynamic_init,54,vehicle,0.3706896551724138,0.5431034482758621
step8_g_dynamic_init,171,171,0.41615384615384615,0.4357692307692308
step8_g_dynamic_init,173,173,0.6818181818181819,0.7272727272727273
step8_g_dynamic_init,174,174,0.7241379310344827,0.7327586206896552
step8_g_dynamic_init,181,yeast,0.646551724137931,0.5862068965517242
step8_g_dynamic_init,188,eucalyptus,0.43965517241379315,0.4482758620689655
step8_g_dynamic_init,209,quake,0.25862068965517243,0.22413793103448276
step8_g_dynamic_init,224,breastTumor,0.2673160173160173,0.33712121212121215
step8_g_dynamic_init,307,307,0.5689655172413793,0.6293103448275862
step8_g_dynamic_init,452,analcatdatabroadwaymult,0.4972426470588235,0.4071691176470589
